source,target,edgetype
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/118577824,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/119447568,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/1017906912,Elternteil von
http://d-nb.info/gnd/118505092,https://d-nb.info/gnd/116660317,Elternteil von
https://d-nb.info/gnd/100123910,https://d-nb.info/gnd/119337630,Elternteil von
https://d-nb.info/gnd/119337630,https://d-nb.info/gnd/118505084,verheiratet mit
http://d-nb.info/gnd/118752715,https://d-nb.info/gnd/1012920631,verheiratet mit
http://d-nb.info/gnd/118752715,https://d-nb.info/gnd/118577786,Elternteil von
https://d-nb.info/gnd/119308169,http://d-nb.info/gnd/119241838,Elternteil von
https://d-nb.info/gnd/1025685814,http://d-nb.info/gnd/119241838,Elternteil von
http://d-nb.info/gnd/119241838,https://d-nb.info/gnd/119362341,Elternteil von
http://d-nb.info/gnd/119241838,https://d-nb.info/gnd/1140953907,Elternteil von
https://d-nb.info/gnd/119241838,http://d-nb.info/gnd/119362341,Elternteil von
https://d-nb.info/gnd/189551283,http://d-nb.info/gnd/119362341,Elternteil von
http://d-nb.info/gnd/119362341,https://d-nb.info/gnd/137353618,Elternteil von
